Product_URL,Product_Demographic,Product_Type,Product_Name,Selling_Price,Max_Retail_Price,Rating,Rating_Count,Color,Available_Sizes,Fit_Sizing,Product_Details,Fabric_Care
https://www.gap.com/browse/product.do?pid=871336002,Women,T-Shirts & Tanks,Muscle Dolman T-Shirt,20.00$29.95,20.00$29.95,0.0,Not available,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft, slightly cropped muscle dolman T-shirt', 'Round neck', 'Short dolman sleeves']","['Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855373002,Women,T-Shirts & Tanks,Modern Rib Cardigan Shirt,31.00$44.95,31.00$44.95,4.63,24,heather grey,"XXS, XS, S, M, L, XL, XXL","['* Fit: Stretch-to-Fit. Slim & stretchy that forms to your shape', 'Slightly cropped, hits at the waist']","['Supersoft ribbed cotton-modal blend cardigan shirt', 'Crewneck', 'Long sleeves', 'Button front']","['BetterMade Cotton 58%, Modal 38%, Spandex 4%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=878217022,Women,T-Shirts & Tanks,Modern Ballet-Back Cropped T-Shirt,24.00,24.00,0.0,Not available,black & white stripe,"XXS, XS, S, M, L, XL, XXL","['* Fit: Stretch-to-Fit. Slim & stretchy that forms to your shape', 'Cropped, hits at the waist']","['Soft cotton-modal blend cropped T-shirt', 'Boat neck, ballet scoop back', 'Elbow sleeves', 'Certain styles have allover prints']","['Cotton 57%, Modal 39%, Spandex 4%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=540735012,Women,T-Shirts & Tanks,Modern Shell Tank Top,12.00,12.00,4.58,536,black,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a slim, slightly cropped fit. Size up for a looser, longer fit', 'Hits at the waist']","['Slightly cropped soft knit tank top', 'Crewneck', 'Sleeveless']","['Cotton 58%, Modal 39%, Spandex 3%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=870564032,Women,T-Shirts & Tanks,Modern Rib Henley T-Shirt,24.00,24.00,4.73,15,optic white,"XXS, XS, S, M, L, XL, XXL",['* Fit: Stretch-to-Fit. Slim & stretchy that forms to your shape'],"['Supersoft ribbed cotton-modal blend shirt', 'Crewneck with Henley button placket', 'Short sleeves']","['BetterMade Cotton 58%, Modal 38%, Spandex 4%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=540609122,Women,T-Shirts & Tanks,Modern Crewneck T-Shirt,27.00,27.00,4.46,1177,navy blue & white stripe,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a loose fit', 'Hits at the hip']","['Soft knit stretch cotton and modal t-shirt', 'Crewneck', 'Long sleeves']","['Cotton 58%, Modal 39%, Spandex 3%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=401347012,Women,T-Shirts & Tanks,Cropped Rugby Polo Shirt,48.00$69.95,48.00$69.95,5.0,2,white & navy blue stripe,"XXS, XS, S, M, L, XL, XXL","['* Fit: Oversized. Fits loose on the body', '* Style Note: For a more Classic fit, go down one to two sizes', 'Cropped, hits at the waist']","['Soft cotton cropped rugby polo shirt', 'Polo collar', 'Long sleeves', 'Patch pocket at chest', 'Certain styles have allover prints']","['BetterMade Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855773042,Women,T-Shirts & Tanks,Organic Cotton Vintage Shrunken T-Shirt,17.00$24.95,17.00$24.95,4.0,4,light heather grey,"XXS, XS, S, M, L, XL, XXL","['* Fit: Classic. A straight & easy fit', 'Slightly cropped, hits at the waist']","['Soft cotton shrunken T-shirt', 'Crewneck', 'Short sleeves', ""Made with 100% organically grown cotton. Organic cotton is better for people and the environment because it's grown without the use of harmful synthetic pesticides and fertilizers""]","['Organic Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=740140012,Women,T-Shirts & Tanks,Organic Cotton Vintage V-Neck T-Shirt,12.00,12.00,4.29,3195,heather grey,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits at the hip']","['Made with 100% organically grown cotton. Organic cotton is better for people and the environment because it’s grown without the use of harmful synthetic pesticides and fertilizers', 'Short sleeves', 'V-neck']","['Organic Cotton 100%', 'Machine wash cold', 'Imported']"
https://www.gap.com/browse/product.do?pid=878235002,Women,T-Shirts & Tanks,Linen-Blend Polo Shirt,34.95,34.95,0.0,Not available,olive green,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen-blend polo shirt', 'Polo collar', 'Short sleeves']","['Linen 52%, Polyester 48%', 'Machine wash', 'Imported']"
