Product_URL,Product_Demographic,Product_Type,Product_Name,Selling_Price,Max_Retail_Price,Rating,Rating_Count,Color,Available_Sizes,Fit_Sizing,Product_Details,Fabric_Care
https://www.gap.com/browse/product.do?pid=870589022,Women,Outerwear & Jackets,Linen-Cotton Belted Blazer,148.00,148.00,5,1,new off white,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen-cotton blazer jacket', 'Notch lapels', 'Long sleeves', 'Double-breasted button front', 'Welt pockets at front', 'Tie belt at waist']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=870589002,Women,Outerwear & Jackets,Linen-Cotton Belted Blazer,148.00,148.00,5,1,black,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft linen-cotton blazer jacket', 'Notch lapels', 'Long sleeves', 'Double-breasted button front', 'Welt pockets at front', 'Tie belt at waist']","['Linen 55%, Cotton 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=870733002,Women,Outerwear & Jackets,Belted Shirt Jacket,75.00$108.00,75.00$108.00,0,Not available,chino beige,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft cotton twill shirt jacket', 'Point collar', 'Long sleeves', 'Button front', 'Flap patch pockets at chest', 'Tie-belt at waist']","['Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=869173002,Women,Outerwear & Jackets,Denim Blazer,118.00$148.00,118.00$148.00,4.75,4,medium indigo,"XXS, XS, S, M, L, XL, XXL",['* Fit: Classic. A straight & easy fit'],"['Authentic, no stretch denim blazer', 'Notch collar with V-neck detail', 'Long sleeves', 'Button front', 'Welt pockets at front', 'Our Washwell program uses at least 20% less water as compared with conventional wash methods. We’ve saved over a billion liters of water through Washwell since 2016', ""To view a copy of this product's label, copy the style number and search this database Law Label Lookup""]","['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=871357002,Women,Outerwear & Jackets,Icon Denim Jacket,63.00$79.95,63.00$79.95,0,Not available,optic white,"XXS, XS, S, M, L, XL, XXL",['* Fit: Classic. A straight & easy fit'],"['Low stretch denim jacket', 'Point collar', 'Long sleeves with button cuffs', 'Button front', 'Button-flap patch pockets at chest', 'Front slant pockets', 'Button tabs near rear hem', 'Our Washwell program uses at least 20% less water as compared with conventional wash methods. We’ve saved over a billion liters of water through Washwell since 2016']","['Cotton 99%, Elastane 1%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=871361002,Women,Outerwear & Jackets,Cinched Denim Jacket,71.00$89.95,71.00$89.95,5,1,light indigo,"XXS, XS, S, M, L, XL, XXL",['* Fit: Classic. A straight & easy fit'],"['No stretch denim jacket', 'Point collar, button front', 'Long sleeves with button cuffs', 'Button front', 'Button-flap patch pockets at chest', 'Cinched detail at waist', 'Patch pockets at front', 'Our Washwell program uses at least 20% less water as compared with conventional wash methods. We’ve saved over a billion liters of water through Washwell since 2016', 'This jacket is made with 5% recycled cotton. Using recycled materials helps to conserve resources and reduce waste']","['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=817987002,Women,Outerwear & Jackets,Icon Denim Jacket,39.00,39.00,4.61,178,light wash,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed fit', 'Hits above the hip']","['With Low Stretch', 'Point collar, button-front', 'Long sleeves with button cuffs', 'Front patch pockets', 'Front slant pockets', 'Light wash', 'This jacket is made with 5% recycled cotton. Less waste in the world. More great denim for you', 'Better denim. Better planet. This jacket is part of our water-saving WashwellTM program. Compared to conventional wash methods, WashwellTM has saved millions of liters of water since 2016']","['Cotton 94%, Recycled Cotton 5%, Elastane 1%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855745002,Women,Outerwear & Jackets,Cropped Icon Denim Jacket,55.00$69.95,55.00$69.95,0,Not available,light indigo,"XXS, XS, S, M, L, XL, XXL","['* Fit: Classic. A straight & easy fit', 'Cropped, hits at the waist']","['Authentic, no stretch cropped denim jacket', 'Point collar', 'Long sleeves with button cuffs', 'Button front', 'Button-flap patch pockets at chest', 'Our Washwell program uses at least 20% less water as compared with conventional wash methods. We’ve saved over a billion liters of water through Washwell since 2016', 'This jacket is made with 5% recycled cotton. Using recycled materials helps to conserve resources and reduce waste']","['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=871355002,Women,Outerwear & Jackets,Denim Utility Shirt Jacket,79.00$99.95,79.00$99.95,2,3,light indigo,"XXS, XS, S, M, L, XL, XXL","['* Fit: Relaxed. A straight & easy fit', '* Style Note: For a more Classic fit, go down one size']","['Soft cotton denim utility shirt jacket', 'Point collar', 'Long sleeves with button cuffs', 'Button front', 'Oversized flap patch pockets at front', 'This denim jacket made with 5% recycled cotton. Less waste in the world. More great denim for you', 'Better denim. Better planet. This denim jacket is part of our water-saving Washwell program. Compared to conventional wash methods, Washwell has saved millions of liters of water since 2016']","['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=817989002,Women,Outerwear & Jackets,Oversized Icon Denim Jacket,53.00$89.95,53.00$89.95,4.69,131,medium indigo,"XXS, XS, S, M, L, XL, XXL","['Straight silhouette with a relaxed, oversized fit', 'Hits at the hip']","['Authentic non-stretch denim', 'Medium indigo wash', 'Point collar', 'Button front', 'Long sleeves with button cuffs', 'Button-flap front patch pockets', 'Front slant pockets', 'Button tabs at rear hem', 'This jacket is made with 5% recycled cotton. Less waste in the world. More great clothes for you', 'Better denim. Better planet. This jacket is part of our water-saving Washwell program. Compared to conventional wash methods, Washwell has saved millions of liters of water since 2016']","['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=870308012,Women,Outerwear & Jackets,Belted Denim Shirt Jacket,64.00,64.00,4.25,16,medium indigo,"XXS, XS, S, M, L, XL, XXL",['Not applicable'],"['This denim jacket made with 5% recycled cotton. Less waste in the world. More great denim for you', 'With Low Stretch. Feels like vintage denim, with just a touch of stretch. Snug at first, but forms to your shape', 'Point collar', 'Long sleeves', 'Button front', 'Flap patch pockets at chest', 'Tie-belt at waist', 'Medium denim wash', 'Better denim. Better planet. This denim jacket is part of our water-saving Washwell program. Compared to conventional wash methods, Washwell has saved millions of liters of water since 2016']","['Cotton 95%, Recycled Cotton 5%', 'Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Machine wash', 'Imported', 'Imported']"
