Product_URL,Product_Demographic,Product_Type,Product_Name,Selling_Price,Max_Retail_Price,Rating,Rating_Count,Color,Available_Sizes,Fit_Sizing,Product_Details,Fabric_Care
https://www.gap.com/browse/product.do?pid=875088012,Women,Skirts,Linen-Blend Cargo Midi Skirt,69.95,69.95,3,2,olive green,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Classic. An A-line silhouette that's slim at the waist & easy through the hip with a flared opening"", 'Hits below the knee']","['Soft linen-rayon blend midi skirt', 'Elasticized waist with drawcords', 'Cargo pockets at sides', 'Front slit']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=857496022,Women,Skirts,Crinkle Gauze Tiered Maxi Skirt,55.00$69.95,55.00$69.95,0,Not available,new off white,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Slim. An A-line silhouette that's slim through the waist & hip with a flared opening""]","['Soft crinkle gauze maxi skirt', 'Wide smocked waist', 'Tiered skirt']","['Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875088002,Women,Skirts,Linen-Blend Cargo Midi Skirt,69.95,69.95,3,2,black,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Classic. An A-line silhouette that's slim at the waist & easy through the hip with a flared opening"", 'Hits below the knee']","['Soft linen-rayon blend midi skirt', 'Elasticized waist with drawcords', 'Cargo pockets at sides', 'Front slit']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=857496012,Women,Skirts,Crinkle Gauze Tiered Maxi Skirt,55.00$69.95,55.00$69.95,0,Not available,black,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Slim. An A-line silhouette that's slim through the waist & hip with a flared opening""]","['Soft crinkle gauze maxi skirt', 'Wide smocked waist', 'Tiered skirt']","['Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875088022,Women,Skirts,Linen-Blend Cargo Midi Skirt,69.95,69.95,3,2,iconic khaki tan,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Classic. An A-line silhouette that's slim at the waist & easy through the hip with a flared opening"", 'Hits below the knee']","['Soft linen-rayon blend midi skirt', 'Elasticized waist with drawcords', 'Cargo pockets at sides', 'Front slit']","['Linen 55%, Viscose Rayon 45%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=853483002,Women,Skirts,Denim Cargo Mini Skirt,44.00$59.95,44.00$59.95,0,Not available,medium indigo,"24, 25, 26, 27, 28, 29, 30, 31, 32, 33","[""* Fit: Classic. An easy silhouette that's slim at the waist & relaxed throughout"", 'Hits above the knee']","['Authentic, no stretch denim mini skirt', 'Button closure, zip fly', 'Button-flap cargo pockets at front, back welt pockets', 'Seam at front', 'Medium indigo wash', 'This skirt is made with 5% recycled cotton. Using recycled materials helps to conserve resources and reduce waste', 'Our Washwell program uses at least 20% less water as compared with conventional wash methods. We’ve saved over a billion liters of water through Washwell since 2016']","['Cotton 95%, Recycled Cotton 5%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=857496032,Women,Skirts,Crinkle Gauze Tiered Maxi Skirt,55.00$69.95,55.00$69.95,0,Not available,indie pink,"XXS, XS, S, M, L, XL, XXL","[""* Fit: Slim. An A-line silhouette that's slim through the waist & hip with a flared opening""]","['Soft crinkle gauze maxi skirt', 'Wide smocked waist', 'Tiered skirt']","['Cotton 100%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875087012,Women,Skirts,Wrap Midi Skirt,34.00$69.95,34.00$69.95,3.33,3,yellow floral,"XXS, XS, S, M, L, XL","[""* Fit: Classic. An easy silhouette that's slim at the waist & relaxed throughout"", 'Hits below the knee']","['Soft woven wrap midi skirt', 'Wrap tie-waist', 'Certain styles have allover prints', 'Made with 50% LENZINGTM ECOVEROTM, a wood-based fiber produced using pulp derived from responsibly managed forests and manufactured with significantly lower emissions and less water than generic viscose']","['50% LENZINGTM ECOVEROTM, 50% Viscose Rayon', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=875087002,Women,Skirts,Wrap Midi Skirt,34.00$69.95,34.00$69.95,3.33,3,navy blue floral,"XXS, XS, S, M, L, XL","[""* Fit: Classic. An easy silhouette that's slim at the waist & relaxed throughout"", 'Hits below the knee']","['Soft woven wrap midi skirt', 'Wrap tie-waist', 'Certain styles have allover prints', 'Made with 50% LENZINGTM ECOVEROTM, a wood-based fiber produced using pulp derived from responsibly managed forests and manufactured with significantly lower emissions and less water than generic viscose']","['50% LENZINGTM ECOVEROTM, 50% Viscose Rayon', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855740002,Women,Skirts,Denim Midi Skirt,55.00$69.95,55.00$69.95,0,Not available,light wash indigo,"24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35",['* Fit: Classic. An easy silhouette throughout'],"[""Fit: A denim midi skirt that's fitted at the waist"", 'Fabric: 94% Cotton, 5% Recycled Materials, 1% Stretch', 'Stretch: Low Stretch Jeans. Feels like vintage denim with a hint of stretch. Snug at first & holds you in, but forms to your shape.\u200b', 'Look: A classic denim midi in a light indigo wash', 'Details: Zip fly, five-pocket styling, & let-down raw hem', 'Responsibly Made: This skirt is part of our water-saving Washwell program. Compared to conventional wash methods, Washwell has saved millions of liters of water since 2016']","['Cotton 94%, Recycled Cotton 5%, Spandex 1%', 'Machine wash', 'Imported']"
