Product_URL,Product_Demographic,Product_Type,Product_Name,Selling_Price,Max_Retail_Price,Rating,Rating_Count,Color,Available_Sizes,Fit_Sizing,Product_Details,Fabric_Care
https://www.gap.com/browse/product.do?pid=855193022,Women,Swimsuits,Wrap Swimsuit,55.00$69.95,55.00$69.95,0,Not available,multi color floral,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch one-piece swimsuit', 'V-neck', 'Tank straps', 'Wrap front', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855186002,Women,Swimsuits,Bandeau Bikini Top,47.00$59.95,47.00$59.95,0,Not available,multi color floral,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch bandeau bikini top', 'Convertible straps can be worn or removed', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855158032,Women,Swimsuits,High Rise Bikini Bottom,43.00$54.95,43.00$54.95,0,Not available,multi color floral,"XXS, XS, S, M, L, XL, XXL","['High rise', 'Full back coverage']","['Smooth, stretch bikini bottoms', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855188032,Women,Swimsuits,Scoop Neck Swimsuit,55.00$69.95,55.00$69.95,1,1,multi color floral,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch one-piece swimsuit', 'Scoop neck and back', 'Tank straps', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855186012,Women,Swimsuits,Bandeau Bikini Top,47.00$59.95,47.00$59.95,0,Not available,black with white polka dots,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch bandeau bikini top', 'Convertible straps can be worn or removed', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855182032,Women,Swimsuits,Classic Bikini Bottom,35.00$44.95,35.00$44.95,0,Not available,black with white polka dots,"XXS, XS, S, M, L, XL, XXL","['Low rise', 'Full back coverage']","['Soft, stretch classic bikini bottom', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855188022,Women,Swimsuits,Scoop Neck Swimsuit,55.00$69.95,55.00$69.95,1,1,true black,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch one-piece swimsuit', 'Scoop neck and back', 'Tank straps', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855166032,Women,Swimsuits,Tie-Knot Cutout One-Piece Swimsuit,55.00$69.95,55.00$69.95,0,Not available,true black,"XXS, XS, S, M, L, XL, XXL","['For more fit and sizing info, check out our Size Guide']","['Soft stretch knit swimsuit', 'Tie-front v-neckline', 'Spaghetti straps', 'Cutout at front']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855181032,Women,Swimsuits,Balconette Bikini Top,47.00$59.95,47.00$59.95,0,Not available,true black,"XXS, XS, S, M, L, XL",['Fitted silhouette hugs the body'],"['Soft, stretch balconette bikini top', 'Adjustable straps', 'Underwire']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855182062,Women,Swimsuits,Classic Bikini Bottom,35.00$44.95,35.00$44.95,0,Not available,true black,"XXS, XS, S, M, L, XL, XXL","['Low rise', 'Full back coverage']","['Soft, stretch classic bikini bottom', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=871721002,Women,Swimsuits,Gingham Bikini Top,51.00$64.95,51.00$64.95,0,Not available,black gingham,"S, M, L",['Fitted silhouette hugs the body'],"['Soft, stretch balconette bikini top', 'Adjustable straps', 'Underwire', 'Gingham print']","['Body: 48% Polyester, 45% Nylon, 7% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=871719002,Women,Swimsuits,High Rise Gingham Bikini Bottom,47.00$59.95,47.00$59.95,0,Not available,black gingham,"XXS, XS, S, M, L, XL, XXL","['High rise', 'Full back coverage']","['Soft, stretch bikini bottom', 'Gingham print']","['Body: 48% Polyester, 45% Nylon, 7% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855193002,Women,Swimsuits,Wrap Swimsuit,55.00$69.95,55.00$69.95,0,Not available,olive green,"XXS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch one-piece swimsuit', 'V-neck', 'Tank straps', 'Wrap front', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855188002,Women,Swimsuits,Scoop Neck Swimsuit,55.00$69.95,55.00$69.95,1,1,olive green,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch one-piece swimsuit', 'Scoop neck and back', 'Tank straps', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855186042,Women,Swimsuits,Bandeau Bikini Top,47.00$59.95,47.00$59.95,0,Not available,olive green,"XXS, XS, S, M, L, XL, XXL",['Fitted silhouette hugs the body'],"['Soft, stretch bandeau bikini top', 'Convertible straps can be worn or removed', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855158022,Women,Swimsuits,High Rise Bikini Bottom,43.00$54.95,43.00$54.95,0,Not available,olive green,"XXS, XS, S, M, L, XL, XXL","['High rise', 'Full back coverage']","['Smooth, stretch bikini bottoms', 'Certain styles have allover prints']","['Body: 83% Polyamide, 17% Spandex', 'Lining: 77% Recycled Polyamide, 23% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=559089002,Women,Swimsuits,Andie Malibu Classic One Piece,112.00,112.00,0,Not available,navy,"XS, S, M, L, XL, XXL",['Not applicable'],"['Fun and flexible, this one piece is an effortless mix of sporty and sexy with a high, snap-front neckline for versatile perfection', 'Perfect for busy moms and easy access for breastfeeding', 'Good for working out and water activities', 'High Neckline', 'Medium Seat Coverage', 'Medium Leg Cut', 'Adjustable 7 Snap Button Front Detail', 'Maximum bust support with underbust elastic for added lift', 'Removable soft cups for shaping and versatility', 'Compressive fabric for sculpting comfort']","['UPF 50+ sun protection', 'UPF 50+ sun protection', '80% recycled nylon and 20% spandex', '80% recycled nylon and 20% spandex', 'Rinse in cold water immediately after wearing to remove some chlorine, saltwater, sunscreen and/or natural body oils', 'Rinse in cold water immediately after wearing to remove some chlorine, saltwater, sunscreen and/or natural body oils', 'Hand-wash your suits in cold water with a gentle laundry detergent or hand soap', 'Hand-wash your suits in cold water with a gentle laundry detergent or hand soap', 'Do not bleach, iron, or tumble dry', 'Do not bleach, iron, or tumble dry', 'Lay flat to dry to dry give the fabric a chance to reshape', 'Lay flat to dry to dry give the fabric a chance to reshape', 'For super-suit longevity, pre-rinse your Andie in fresh water before diving into the pool or ocean', 'For super-suit longevity, pre-rinse your Andie in fresh water before diving into the pool or ocean', 'Salt, chlorine, and other particles cling to dry suits, so jumping in some clean water before your day at the beach/pool/park help maintain swimsuit fibers', 'Salt, chlorine, and other particles cling to dry suits, so jumping in some clean water before your day at the beach/pool/park help maintain swimsuit fibers', '#558860', '#558860']"
