Product_URL,Product_Demographic,Product_Type,Product_Name,Selling_Price,Max_Retail_Price,Rating,Rating_Count,Color,Available_Sizes,Fit_Sizing,Product_Details,Fabric_Care
https://www.gap.com/browse/product.do?pid=260636432,Women,Underwear,Lace Thong,8.00,8.00,4.77,368,military blue,"XS, S, M, L, XL, XXL","['For more fit and sizing info, check out our Size Guide']","['Sheer lace, minally lined', 'Thick elasticized waistband', 'Scalloped trim at waistband and leg openings']","['94% Nylon, 6% Spandex', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=708824052,Women,Underwear,Stretch Cotton Lace Thong,8.00$10.50,8.00$10.50,3.61,51,true black,"XXS, S, M, L, XL, XXL","['Low rise', 'High cut leg', 'Minimal back coverage']","['Soft, comfy stretch cotton knit', 'Elasticized waist with lace trim ']","['Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=802546102,Women,Underwear,Mesh Thong,11.00,11.00,4.45,66,deep garnet purple red,"S, M","['High rise', 'Minimal back coverage']","['Ultrafine stretch mesh', 'Elasticized trim at waistband and leg openings']","['Nylon 68%, Spandex 32%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=409122022,Women,Underwear,Stretch Cotton Gap Logo Thong,10.00,10.00,4.32,28,optic white,"XXS, XS, S, M, L, XL","['Low rise', 'High-cut leg', 'Minimal back coverage']","['Soft, comfy stretch cotton thong', 'Elasticized waistband with Gap logo']","['Spandex 7%, Cotton 93%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=409150012,Women,Underwear,Breathe High Rise Bikini (3-Pack),23.00,23.00,4.66,149,"black, blush beige, & heather grey","XXS, XS, S, M, L, XL, XXL","['High rise', 'High-cut leg', 'Full back coverage']","['Soft, breathable jersey knit keeps you comfortable and cool', 'Elasticized waistband and leg openings']","['Polyester 74%, Spandex 8%, Lyocell 18%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=536723122,Women,Underwear,No-Show Hipster,10.00$12.50,10.00$12.50,4.33,307,optic white,"XXS, XS, S, M, L, XL, XXL","['Sits ultra low', 'Boy-cut leg', 'Full back coverage']","['Our barely-there, super light microfiber intimates that wear like a second skin', 'Soft microfiber hipster underwear', 'Seamless with no stitching or elastic at waist and leg opening']","['Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=536715012,Women,Underwear,No-Show Thong,10.00$12.50,10.00$12.50,4.5,117,warm dark brown,"XXS, XS, S, M, L, XL, XXL","['For more fit and sizing info, check out our Size Chart']","['Soft microfiber thong', 'Seamless with no stitching or elastic at waist and leg opening']","['Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=586732002,Women,Underwear,Organic Stretch Cotton Thong (3-Pack),17.00$29.95,17.00$29.95,4.42,24,"black, white, & brush beige","XXS, XS, S, M, L, XL","['Low rise', 'High-cut leg', 'Minimal back coverage', 'For more fit and sizing info, check out our Size Guide']","['Soft, stretch organic cotton thong underwear', 'Light as air and extra breathable', 'Elasticized waistband and leg openings', ""Made with 92% organically grown cotton. Organic cotton is better for people and the environment because it's grown without the use of harmful synthetic pesticides and fertilizers""]","['Organic Cotton 92%, Spandex 8%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=536715032,Women,Underwear,No-Show Thong,10.00$12.50,10.00$12.50,4.5,117,true black,"XS, S, M, L, XL, XXL","['For more fit and sizing info, check out our Size Chart']","['Soft microfiber thong', 'Seamless with no stitching or elastic at waist and leg opening']","['Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=568193042,Women,Underwear,Organic Mid Rise Stretch Cotton Bikini,8.00$10.50,8.00$10.50,4.18,106,mauvey brown,"XS, S, M","['Mid rise', 'For more fit and sizing info, check out our Size Guide']","['Soft, stretch organic cotton bikini underwear', 'Light as air and extra breathable', 'Elasticized waistband and leg openings', ""Made with 92% organically grown cotton. Organic cotton is better for people and the environment because it's grown without the use of harmful synthetic pesticides and fertilizers""]","['Organic Cotton 92%, Spandex 8%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=715065092,Women,Underwear,Breathe High Rise Bikini,10.00$12.50,10.00$12.50,4.74,174,deep garnet purple red,"XXS, XS, S","['High rise', 'High-cut leg', 'Full back coverage', 'For more fit and sizing info, check out our Size Chart']","['Soft, breathable jersey knit bikini underwear', 'Elasticized waistband and leg openings']","['Polyester 74%, TENCELTM Lyocell 18%, Spandex 8%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=568193052,Women,Underwear,Organic Mid Rise Stretch Cotton Bikini,8.00$10.50,8.00$10.50,4.18,106,optic white,"XS, S, M, L, XL, XXL","['Mid rise', 'For more fit and sizing info, check out our Size Guide']","['Soft, stretch organic cotton bikini underwear', 'Light as air and extra breathable', 'Elasticized waistband and leg openings', ""Made with 92% organically grown cotton. Organic cotton is better for people and the environment because it's grown without the use of harmful synthetic pesticides and fertilizers""]","['Organic Cotton 92%, Spandex 8%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=421103552,Women,Underwear,Breathe Hipster,10.00$12.50,10.00$12.50,4.56,1284,true black,"XXS, XS, S, M, L, XL, XXL","['Sits ultra low', 'Boy-cut leg', 'Full back coverage']","['Breathable heathered jersey keeps you comfortable and cool', 'Elasticized waistband and leg openings']","['Machine wash, delicate cycle', 'Imported']"
https://www.gap.com/browse/product.do?pid=536715092,Women,Underwear,No-Show Thong,10.00$12.50,10.00$12.50,4.5,117,optic white,"XXS, XS, S, M, L, XL, XXL","['For more fit and sizing info, check out our Size Chart']","['Soft microfiber thong', 'Seamless with no stitching or elastic at waist and leg opening']","['Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=670621032,Women,Underwear,No-Show Bikini,10.00$12.50,10.00$12.50,4.11,204,clay brown,"S, M, L, XL, XXL","['For more fit and sizing info, check out our Size Chart']","['Soft microfiber bikini underwear', 'Seamless with no stitching or elastic at waist and leg opening']","['Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=568199072,Women,Underwear,Organic Stretch Cotton Lace Hipster,8.00$10.50,8.00$10.50,4.2,51,sage green,"XXS, XS, S, M, L, XL, XXL","['Ultra low rise', 'Low-cut leg', 'Full back coverage', 'For more fit and sizing info, check out our Size Guide']","['Soft, stretch organic cotton hipster underwear', 'Light as air and extra breathable', 'Sheer lace waistband', 'Elasticized leg openings', ""Made with 92% organically grown cotton. Organic cotton is better for people and the environment because it's grown without the use of harmful synthetic pesticides and fertilizers""]","['Organic Cotton 92%, Spandex 8%', 'Machine wash', 'Imported']"
https://www.gap.com/browse/product.do?pid=855044012,Women,Underwear,High Rise Lace Hipster,13.00$16.50,13.00$16.50,5.0,4,new off white,"XXS, XS, S, M, L, XL, XXL","['High rise', 'Low-cut leg', 'Full back coverage', 'For more fit and sizing info, check out our Size Guide']","['Sheer lace hipster undies, minimally lined', 'Thin elasticized waistband and leg openings']","['Nylon Conventional 90%, Elastane 10%', 'Machine wash delicate, lay flat to dry', 'Imported']"
https://www.gap.com/browse/product.do?pid=467872172,Women,Underwear,Breathe Thong,10.00$12.50,10.00$12.50,4.78,1081,white,"XXS, XS, S, M, L, XL, XXL","['Low rise', 'High-cut leg', 'Thong back coverage']","['Breathable heathered jersey keeps you comfortable and cool', 'Elasticized waistband and leg openings']","['Machine wash, delicate cycle', 'Imported']"
