Fabric_Care
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Spandex 21%, Recycled Polyester 79%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Spandex 21%, Recycled Polyester 79%', 'Machine wash', 'Imported']"
"['Recycled Polyester 86%, Spandex 14%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Polyester 75%, Recycled Polyester 25%', 'Machine wash', 'Imported']"
"['Spandex 21%, Recycled Polyester 79%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['79% Recycled Polyester, 21% Spandex', 'Machine wash', 'Imported']"
"['Recycled Polyester 88%, Spandex 12%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
"['Recycled Polyester 79%, Spandex 21%', 'Machine wash', 'Imported']"
