Fabric_Care
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% Cotton Regenerative, 2% Elastane', 'Machine wash', 'Imported']"
"['98% Cotton Regenerative, 2% Elastane', 'Machine wash', 'Imported']"
"['98% Cotton Regenerative, 2% Elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
"['98% cotton regenerative, 2% elastane', 'Machine wash', 'Imported']"
